number,sentence,label
1,"Just had the best iced coffee of my life, today is going to be amazing! #blessed",positive
2,"Huge shoutout to the team for crushing that presentation today. Teamwork makes the dream work!",positive
3,"I am absolutely obsessed with this new skincare line. My face has never felt smoother.",positive
4,"Finally booked my flights to Italy! Can't wait for all the pasta and sunshine.",positive
5,"The sunset tonight is absolutely breathtaking. Nature is the best artist.",positive
6,"So proud of my sister for graduating today! You worked so hard for this.",positive
7,"Just hit my 5k personal best! Feeling like I can conquer the world right now.",positive
8,"Nothing beats a cozy Saturday morning with a good book and a warm blanket.",positive
9,"This new restaurant in town is a 10/10. You HAVE to try the truffle fries.",positive
10,"Surprise flowers from my best friend just made my whole week.",positive
11,"I love how supportive this community is. Thank you all for the kind messages!",positive
12,"That concert was hands down the best live performance I've ever seen.",positive
13,"Finding a $20 bill in an old jacket is the ultimate Friday win.",positive
14,"So happy with how this DIY project turned out. It’s perfect!",positive
15,"Waking up to chirping birds and a cool breeze is the perfect start to the day.",positive
16,"Can we talk about how good the new Marvel movie is? I'm blown away.",positive
17,"My dog is the cutest thing on this planet. Look at those ears!",positive
18,"Actually had a productive Monday for once. Feeling incredibly motivated.",positive
19,"The customer service I received today was top-notch. Truly impressed.",positive
20,"Got the job!! I'm so excited to start this new chapter.",positive
21,"Warm cookies straight out of the oven are my love language.",positive
22,"The energy at the game tonight was electric. So glad I went!",positive
23,"Finally finished my painting. I’m really proud of the progress I’ve made.",positive
24,"Seeing the northern lights has always been a dream, and tonight it came true.",positive
25,"Kindness is free. Let's spread some today! #PositiveVibes",positive
26,"I just realized I have 3 days off in a row. Best feeling ever.",positive
27,"This playlist is a literal masterpiece. Every song is a bop.",positive
28,"Had such a soul-cleansing hike today. The mountain air is everything.",positive
29,"Grateful for the little things today, like a perfect avocado and no traffic.",positive
30,"Successfully baked bread for the first time! It smells like heaven in here.",positive
31,"Life is short, buy the shoes. No regrets!",positive
32,"My garden is finally blooming and it’s making me so happy.",positive
33,"Big thanks to the stranger who helped me with my groceries today.",positive
34,"Nothing like a fresh haircut to make you feel like a brand new person.",positive
35,"The new software update is actually great. Much faster than before.",positive
36,"Spend time with people who make you feel like sunshine.",positive
37,"The autumn leaves are finally changing colors. My favorite season!",positive
38,"I just found out I'm going to be an aunt! Best news ever.",positive
39,"Taking a moment to appreciate how far I’ve come this year.",positive
40,"The pizza here is so cheesy and delicious. Literal perfection.",positive
41,"Woke up feeling refreshed and ready to take on the world.",positive
42,"Yoga this morning was exactly what my body needed.",positive
43,"The comedy show tonight had me in literal tears. So funny!",positive
44,"I love the smell of rain on hot pavement. Summer vibes.",positive
45,"So glad I took the risk and started my own business. It's paying off!",positive
46,"Found the perfect pair of vintage jeans today. Score!",positive
47,"The community garden looks beautiful this year. Great job everyone.",positive
48,"Feeling so much love on my birthday. Thank you for the wishes!",positive
49,"A clean room and a fresh candle is the ultimate mood booster.",positive
50,"The beach was so peaceful this morning. I could stay here forever.",positive
51,"My flight is delayed for the third time today. I just want to go home.",negative
52,"Why is the WiFi in this hotel so incredibly slow? I can't get anything done.",negative
53,"Just dropped my phone and the screen shattered. 2026 is off to a great start.",negative
54,"The customer service at this place is actually non-existent. Avoid at all costs.",negative
55,"I paid $15 for a salad that was 90% wilted lettuce. Never again.",negative
56,"Woke up with a massive headache and it’s raining. Fantastic.",negative
57,"Traffic is a literal nightmare today. I've been sitting here for an hour.",negative
58,"Another meeting that could have been an email. My time is being wasted.",negative
59,"I'm so tired of people being rude for no reason. Be better.",negative
60,"The new app update is so buggy. It crashes every five minutes.",negative
61,"Spent two hours on hold just to be disconnected. I'm livid.",negative
62,"My order arrived broken and now they want me to pay for return shipping.",negative
63,"Is it just me, or is the air quality today absolutely terrible?",negative
64,"I really regret buying these shoes. They gave me blisters within ten minutes.",negative
65,"The ending of that book was so disappointing. I feel like I wasted my time.",negative
66,"Nothing ruins a mood like a cold cup of coffee in the morning.",negative
67,"I’m so sick of this endless winter. I need to see the sun.",negative
68,"Had the worst experience at the DMV today. Total chaos.",negative
